ENTREZID	SYMBOL	ENSEMBL
10554	AGPAT1	ENSG00000228892
10554	AGPAT1	ENSG00000235758
10554	AGPAT1	ENSG00000206324
10554	AGPAT1	ENSG00000226467
10554	AGPAT1	ENSG00000204310
10554	AGPAT1	ENSG00000236873
10555	AGPAT2	ENSG00000169692
10558	SPTLC1	ENSG00000090054
10587	TXNRD2	ENSG00000184470
10588	MTHFS	ENSG00000136371
10606	PAICS	ENSG00000128050
10654	PMVK	ENSG00000163344
10667	FARS2	ENSG00000145982
10678	B3GNT2	ENSG00000170340
10682	EBP	ENSG00000147155
10715	CERS1	ENSG00000223802
10720	UGT2B11	ENSG00000213759
10728	PTGES3	ENSG00000110958
10797	MTHFD2	ENSG00000065911
10825	NEU3	ENSG00000162139
10840	ALDH1L1	ENSG00000144908
10841	FTCD	ENSG00000160282
10841	FTCD	ENSG00000281775
10855	HPSE	ENSG00000173083
10858	CYP46A1	ENSG00000036530
10901	DHRS4	ENSG00000157326
10901	DHRS4	ENSG00000284807
10905	MAN1A2	ENSG00000198162
10919	EHMT2	ENSG00000204371
10919	EHMT2	ENSG00000232045
10919	EHMT2	ENSG00000224143
10919	EHMT2	ENSG00000238134
10919	EHMT2	ENSG00000227333
10919	EHMT2	ENSG00000236759
10919	EHMT2	ENSG00000206376
10941	UGT2A1	ENSG00000173610
10993	SDS	ENSG00000135094
10998	SLC27A5	ENSG00000083807
11105	PRDM7	ENSG00000126856
11112	HIBADH	ENSG00000106049
11145	PLAAT3	ENSG00000176485
11164	NUDT5	ENSG00000165609
11181	TREH	ENSG00000118094
11185	INMT	ENSG00000241644
11226	GALNT6	ENSG00000139629
11227	GALNT5	ENSG00000136542
11238	CA5B	ENSG00000169239
11253	MAN1B1	ENSG00000177239
11283	CYP4F8	ENSG00000186526
11343	MGLL	ENSG00000074416
22845	DOLK	ENSG00000175283
22856	CHSY1	ENSG00000131873
22908	SACM1L	ENSG00000211456
22928	SEPHS2	ENSG00000179918
22934	RPIA	ENSG00000153574
22977	AKR7A3	ENSG00000162482
22992	KDM2A	ENSG00000173120
23007	PLCH1	ENSG00000114805
23057	NMNAT2	ENSG00000157064
23067	SETD1B	ENSG00000139718
23127	COLGALT2	ENSG00000198756
23171	GPD1L	ENSG00000152642
23175	LPIN1	ENSG00000134324
23193	GANAB	ENSG00000089597
23236	PLCB1	ENSG00000182621
23262	PPIP5K2	ENSG00000145725
23275	POFUT2	ENSG00000186866
23305	ACSL6	ENSG00000164398
23395	LARS2	ENSG00000011376
23396	PIP5K1C	ENSG00000186111
23410	SIRT3	ENSG00000142082
23411	SIRT1	ENSG00000096717
23417	MLYCD	ENSG00000103150
23438	HARS2	ENSG00000112855
23464	GCAT	ENSG00000100116
23474	ETHE1	ENSG00000105755
23475	QPRT	ENSG00000103485
23498	HAAO	ENSG00000162882
23509	POFUT1	ENSG00000101346
23530	NNT	ENSG00000112992
23556	PIGN	ENSG00000197563
23590	PDSS1	ENSG00000148459
23600	AMACR	ENSG00000242110
23632	CA14	ENSG00000118298
23646	PLD3	ENSG00000105223
23659	PLA2G15	ENSG00000103066
23761	PISD	ENSG00000241878
25796	PGLS	ENSG00000130313
25902	MTHFD1L	ENSG00000120254
25973	PARS2	ENSG00000162396
26007	TKFC	ENSG00000149476
26035	GLCE	ENSG00000138604
26227	PHGDH	ENSG00000092621
26275	HIBCH	ENSG00000198130
26279	PLA2G2D	ENSG00000117215
26289	AK5	ENSG00000154027
26290	GALNT8	ENSG00000130035
26330	GAPDHS	ENSG00000105679
26873	OPLAH	ENSG00000178814
27010	TPK1	ENSG00000196511
27034	ACAD8	ENSG00000151498
27090	ST6GALNAC4	ENSG00000136840
27124	INPP5J	ENSG00000185133
27165	GLS2	ENSG00000135423
27232	GNMT	ENSG00000124713
27235	COQ2	ENSG00000173085
27304	MOCS3	ENSG00000124217
27306	HPGDS	ENSG00000163106
27430	MAT2B	ENSG00000038274
28960	DCPS	ENSG00000110063
29072	SETD2	ENSG00000181555
29785	CYP2S1	ENSG00000167600
29880	ALG5	ENSG00000120697
29920	PYCR2	ENSG00000143811
29925	GMPPB	ENSG00000173540
29926	GMPPA	ENSG00000144591
29940	DSE	ENSG00000111817
29956	CERS2	ENSG00000143418
29958	DMGDH	ENSG00000132837
29968	PSAT1	ENSG00000135069
30814	PLA2G2E	ENSG00000188784
50484	RRM2B	ENSG00000048392
50487	PLA2G3	ENSG00000100078
50515	CHST11	ENSG00000171310
50614	GALNT9	ENSG00000182870
50614	GALNT9	ENSG00000288490
50700	RDH8	ENSG00000080511
50808	AK3	ENSG00000147853
50814	NSDHL	ENSG00000147383
51004	COQ6	ENSG00000119723
51005	AMDHD2	ENSG00000162066
51067	YARS2	ENSG00000139131
51071	DERA	ENSG00000023697
51074	APIP	ENSG00000149089
51099	ABHD5	ENSG00000011198
51102	MECR	ENSG00000116353
51109	RDH11	ENSG00000072042
51144	HSD17B12	ENSG00000149084
51166	AADAT	ENSG00000109576
51196	PLCE1	ENSG00000138193
51227	PIGP	ENSG00000185808
51268	PIPOX	ENSG00000179761
51292	GMPR2	ENSG00000100938
51292	GMPR2	ENSG00000284752
51302	CYP39A1	ENSG00000146233
51363	CHST15	ENSG00000182022
51380	CSAD	ENSG00000139631
51447	IP6K2	ENSG00000068745
51477	ISYNA1	ENSG00000105655
51478	HSD17B7	ENSG00000132196
51520	LARS1	ENSG00000133706
51540	SCLY	ENSG00000132330
51611	DPH5	ENSG00000117543
51703	ACSL5	ENSG00000197142
51727	CMPK1	ENSG00000162368
51733	UPB1	ENSG00000100024
51763	INPP5K	ENSG00000132376
51805	COQ3	ENSG00000132423
51809	GALNT7	ENSG00000109586
53354	PANK1	ENSG00000152782
54187	NANS	ENSG00000095380
54344	DPM3	ENSG00000179085
54363	HAO1	ENSG00000101323
54480	CHPF2	ENSG00000033100
54490	UGT2B28	ENSG00000135226
54496	PRMT7	ENSG00000132600
54575	UGT1A10	ENSG00000242515
54576	UGT1A8	ENSG00000242366
54577	UGT1A7	ENSG00000244122
54578	UGT1A6	ENSG00000167165
54579	UGT1A5	ENSG00000240224
54600	UGT1A9	ENSG00000241119
54657	UGT1A4	ENSG00000244474
54658	UGT1A1	ENSG00000241635
54659	UGT1A3	ENSG00000243135
54675	CRLS1	ENSG00000088766
54872	PIGG	ENSG00000174227
54884	RETSAT	ENSG00000042445
54898	ELOVL2	ENSG00000197977
54904	NSD3	ENSG00000147548
54905	CYP2W1	ENSG00000073067
54938	SARS2	ENSG00000104835
54938	SARS2	ENSG00000283104
54947	LPCAT2	ENSG00000087253
54963	UCKL1	ENSG00000198276
54981	NMRK1	ENSG00000106733
54988	ACSM5	ENSG00000183549
55034	MOCOS	ENSG00000075643
55157	DARS2	ENSG00000117593
55170	PRMT6	ENSG00000198890
55191	NADSYN1	ENSG00000172890
55217	TMLHE	ENSG00000185973
55224	ETNK2	ENSG00000143845
55256	ADI1	ENSG00000182551
55256	ADI1	ENSG00000280830
55276	PGM2	ENSG00000169299
55300	PI4K2B	ENSG00000038210
55312	RFK	ENSG00000135002
55326	AGPAT5	ENSG00000155189
55326	AGPAT5	ENSG00000284980
55331	ACER3	ENSG00000078124
55349	CHDH	ENSG00000016391
55361	PI4K2A	ENSG00000155252
55500	ETNK1	ENSG00000139163
55501	CHST12	ENSG00000136213
55512	SMPD3	ENSG00000103056
55526	DHTKD1	ENSG00000181192
55568	GALNT10	ENSG00000164574
55577	NAGK	ENSG00000124357
55586	MIOX	ENSG00000100253
55627	SMPD4	ENSG00000136699
55699	IARS2	ENSG00000067704
55711	FAR2	ENSG00000064763
55748	CNDP2	ENSG00000133313
55811	ADCY10	ENSG00000143199
55902	ACSS2	ENSG00000131069
55904	KMT2E	ENSG00000005483
55907	CMAS	ENSG00000111726
56261	GPCPD1	ENSG00000125772
56267	KYAT3	ENSG00000137944
56339	METTL3	ENSG00000165819
56474	CTPS2	ENSG00000047230
56548	CHST7	ENSG00000147119
56603	CYP26B1	ENSG00000003137
56623	INPP5E	ENSG00000148384
56624	ASAH2	ENSG00000188611
56848	SPHK2	ENSG00000063176
56894	AGPAT3	ENSG00000160216
56895	AGPAT4	ENSG00000026652
56922	MCCC1	ENSG00000078070
56950	SMYD2	ENSG00000143499
56979	PRDM9	ENSG00000164256
56983	POGLUT1	ENSG00000163389
56994	CHPT1	ENSG00000111666
57016	AKR1B10	ENSG00000198074
57026	PDXP	ENSG00000241360
57038	RARS2	ENSG00000146282
57104	PNPLA2	ENSG00000177666
57107	PDSS2	ENSG00000164494
57171	DOLPP1	ENSG00000167130
57176	VARS2	ENSG00000137411
57176	VARS2	ENSG00000234032
57176	VARS2	ENSG00000223494
57176	VARS2	ENSG00000236178
57176	VARS2	ENSG00000206476
57176	VARS2	ENSG00000230985
57505	AARS2	ENSG00000124608
57571	CARNS1	ENSG00000172508
57678	GPAM	ENSG00000119927
57704	GBA2	ENSG00000070610
57733	GBA3	ENSG00000249948
57818	G6PC2	ENSG00000278373
57818	G6PC2	ENSG00000152254
58472	SQOR	ENSG00000137767
58478	ENOPH1	ENSG00000145293
58508	KMT2C	ENSG00000055609
60481	ELOVL5	ENSG00000012660
60490	PPCDC	ENSG00000138621
60495	HPSE2	ENSG00000172987
60496	AASDHPPT	ENSG00000149313
63826	SRR	ENSG00000167720
63917	GALNT11	ENSG00000178234
64080	RBKS	ENSG00000171174
64087	MCCC2	ENSG00000275300
64087	MCCC2	ENSG00000131844
64087	MCCC2	ENSG00000281742
64324	NSD1	ENSG00000165671
64419	MTMR14	ENSG00000163719
64600	PLA2G2F	ENSG00000158786
64754	SMYD3	ENSG00000185420
64768	IPPK	ENSG00000127080
64781	CERK	ENSG00000100422
64802	NMNAT1	ENSG00000173614
64834	ELOVL1	ENSG00000066322
64840	PORCN	ENSG00000102312
64841	GNPNAT1	ENSG00000100522
64900	LPIN3	ENSG00000132793
64902	AGXT2	ENSG00000113492
65220	NADK	ENSG00000008130
79001	VKORC1	ENSG00000167397
79017	GGCT	ENSG00000006625
79071	ELOVL6	ENSG00000170522
79143	MBOAT7	ENSG00000125505
79143	MBOAT7	ENSG00000278322
79143	MBOAT7	ENSG00000278519
79143	MBOAT7	ENSG00000274194
79143	MBOAT7	ENSG00000277923
79143	MBOAT7	ENSG00000273592
79143	MBOAT7	ENSG00000277025
79143	MBOAT7	ENSG00000276935
79143	MBOAT7	ENSG00000277733
79143	MBOAT7	ENSG00000275118
79178	THTPA	ENSG00000259431
79369	B3GNT4	ENSG00000176383
79586	CHPF	ENSG00000123989
79587	CARS2	ENSG00000134905
79611	ACSS3	ENSG00000111058
79623	GALNT14	ENSG00000158089
79644	SRD5A3	ENSG00000128039
79646	PANK3	ENSG00000120137
79695	GALNT12	ENSG00000119514
79709	COLGALT1	ENSG00000130309
79717	PPCS	ENSG00000127125
79723	SUV39H2	ENSG00000152455
79731	NARS2	ENSG00000137513
79813	EHMT1	ENSG00000181090
79814	AGMAT	ENSG00000116771
79888	LPCAT1	ENSG00000153395
79888	LPCAT1	ENSG00000275079
79944	L2HGDH	ENSG00000087299
79947	DHDDS	ENSG00000117682
79993	ELOVL7	ENSG00000164181
80025	PANK2	ENSG00000125779
80146	UXS1	ENSG00000115652
80150	ASRGL1	ENSG00000162174
80222	TARS2	ENSG00000143374
80270	HSD3B7	ENSG00000099377
80271	ITPKC	ENSG00000086544
80308	FLAD1	ENSG00000160688
80312	TET1	ENSG00000138336
80339	PNPLA3	ENSG00000100344
80347	COASY	ENSG00000068120
80854	SETD7	ENSG00000145391
80896	NPL	ENSG00000135838
81490	PTDSS2	ENSG00000174915
81490	PTDSS2	ENSG00000282367
81537	SGPP1	ENSG00000126821
81537	SGPP1	ENSG00000285281
83401	ELOVL3	ENSG00000119915
83549	UCK1	ENSG00000130717
83594	NUDT12	ENSG00000112874
83852	SETDB2	ENSG00000136169
84188	FAR1	ENSG00000197601
84245	MRI1	ENSG00000037757
84274	COQ5	ENSG00000110871
84284	NTPCR	ENSG00000135778
84513	PLPP5	ENSG00000147535
84532	ACSS1	ENSG00000154930
84649	DGAT2	ENSG00000062282
84678	KDM2B	ENSG00000089094
84693	MCEE	ENSG00000124370
84706	GPT2	ENSG00000166123
84720	PIGO	ENSG00000165282
84735	CNDP1	ENSG00000150656
84803	GPAT3	ENSG00000138678
84890	ADO	ENSG00000181915
85465	SELENOI	ENSG00000138018
89869	PLCZ1	ENSG00000139151
89978	DPH6	ENSG00000134146
91012	CERS5	ENSG00000139624
91734	IDI2	ENSG00000148377
92579	G6PC3	ENSG00000141349
92715	DPH7	ENSG00000148399
92935	MARS2	ENSG00000247626
93100	NAPRT	ENSG00000147813
93100	NAPRT	ENSG00000278488
112724	RDH13	ENSG00000278284
112724	RDH13	ENSG00000278149
112724	RDH13	ENSG00000274418
112724	RDH13	ENSG00000160439
112724	RDH13	ENSG00000276341
112724	RDH13	ENSG00000274504
112724	RDH13	ENSG00000273944
112724	RDH13	ENSG00000276826
112724	RDH13	ENSG00000275474
112724	RDH13	ENSG00000276684
113026	PLCD3	ENSG00000161714
113189	CHST14	ENSG00000169105
113451	AZIN2	ENSG00000142920
113612	CYP2U1	ENSG00000155016
114805	GALNT13	ENSG00000144278
116285	ACSM1	ENSG00000166743
117145	THEM4	ENSG00000159445
117248	GALNT15	ENSG00000131386
119391	GSTO2	ENSG00000065621
120227	CYP2R1	ENSG00000186104
121278	TPH2	ENSG00000139287
122618	PLD4	ENSG00000166428
122622	ADSS1	ENSG00000185100
123099	DEGS2	ENSG00000168350
123263	MTFMT	ENSG00000103707
123745	PLA2G4E	ENSG00000188089
123876	ACSM2A	ENSG00000183747
124454	EARS2	ENSG00000103356
124583	CANT1	ENSG00000171302
124975	GGT6	ENSG00000167741
125061	AFMID	ENSG00000183077
125981	ACER1	ENSG00000167769
127281	PRXL2B	ENSG00000157870
127281	PRXL2B	ENSG00000275125
129607	CMPK2	ENSG00000134326
129642	MBOAT2	ENSG00000143797
129807	NEU4	ENSG00000204099
129807	NEU4	ENSG00000277926
130013	ACMSD	ENSG00000153086
130367	SGPP2	ENSG00000163082
130589	GALM	ENSG00000143891
131669	UROC1	ENSG00000159650
131870	NUDT16	ENSG00000198585
131965	METTL6	ENSG00000206562
132158	GLYCTK	ENSG00000168237
134526	ACOT12	ENSG00000172497
138050	HGSNAT	ENSG00000165102
139189	DGKK	ENSG00000274588
140838	NANP	ENSG00000170191
144193	AMDHD1	ENSG00000139344
145226	RDH12	ENSG00000139988
147111	NOTUM	ENSG00000185269
150763	GPAT2	ENSG00000186281
151056	PLB1	ENSG00000163803
151531	UPP2	ENSG00000007001
154141	MBOAT1	ENSG00000172197
157506	RDH10	ENSG00000121039
160287	LDHAL6A	ENSG00000166800
160851	DGKH	ENSG00000102780
162417	NAGS	ENSG00000161653
162466	PHOSPHO1	ENSG00000173868
166012	CHST13	ENSG00000180767
166929	SGMS2	ENSG00000164023
167227	DCP2	ENSG00000172795
168391	GALNTL5	ENSG00000106648
169355	IDO2	ENSG00000188676
195814	SDR16C5	ENSG00000170786
196051	PLPP4	ENSG00000203805
196743	PAOX	ENSG00000148832
196883	ADCY4	ENSG00000129467
196883	ADCY4	ENSG00000284814
197257	LDHD	ENSG00000166816
197258	FCSK	ENSG00000157353
200576	PIKFYVE	ENSG00000115020
200895	DHFR2	ENSG00000178700
204219	CERS3	ENSG00000154227
221357	GSTA5	ENSG00000182793
221823	PRPS1L1	ENSG00000229937
253430	IPMK	ENSG00000151151
253558	LCLAT1	ENSG00000172954
253782	CERS6	ENSG00000172292
254531	LPCAT4	ENSG00000176454
255189	PLA2G4F	ENSG00000168907
256435	ST6GALNAC3	ENSG00000184005
259230	SGMS1	ENSG00000198964
259307	IL4I1	ENSG00000104951
283208	P4HA3	ENSG00000149380
283209	PGM2L1	ENSG00000165434
283748	PLA2G4D	ENSG00000159337
284098	PIGW	ENSG00000277161
284098	PIGW	ENSG00000275600
326625	MMAB	ENSG00000139428
337876	CHSY3	ENSG00000198108
339221	ENPP7	ENSG00000182156
340485	ACER2	ENSG00000177076
340665	CYP26C1	ENSG00000187553
341392	ACSM4	ENSG00000215009
348158	ACSM2B	ENSG00000066813
349565	NMNAT3	ENSG00000163864
374291	NDUFS7	ENSG00000115286
377677	CA13	ENSG00000185015
377841	ENTPD8	ENSG00000188833
387522	PEDS1-UBE2V1	ENSG00000124208
387893	KMT5A	ENSG00000183955
442117	GALNTL6	ENSG00000174473
445329	SULT1A4	ENSG00000213648
493869	GPX8	ENSG00000164294
548596	CKMT1A	ENSG00000223572
574537	UGT2A2	ENSG00000271271
653689	GSTT2B	ENSG00000133433
653689	GSTT2B	ENSG00000278695
654364	NME1-NME2	ENSG00000011052
100137049	PLA2G4B	ENSG00000243708
100526794	NT5C1B-RDH14	ENSG00000250741
100528021	ST20-MTHFS	ENSG00000259332
100528030	POC1B-GALNT4	ENSG00000259075
100861540	CYP3A7-CYP3A51P	ENSG00000282301
